RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE;POP.91
101;KOWEIT;KOWEIT;11;29N;48E;3,00 ;111;13,9;36,7;22,8;57764000
102;LAOS;VIENTIANE;170;18N;103E;7,00 ;1683;21,5;27,7;6,2;3502000
103;LESOTHO;MASERU;1061;29S;27E;2,00 ;691;21;8;-13;258000
104;LIBAN;BEYROUTH;16;34N;35E;2,00 ;517;13,9;26,2;12,3;4888000
105;LIBERIA;MONROVIA;23;7N;10W;0,45 ;5138;26,1;24,4;-1,7;57719000
106;LIBYE;TRIPOLI;22;32N;13E;2,00 ;400;11,1;27,2;16,1;2440000
107;LIECHTENSTEIN;VADUZ;445;47N;10E;1,00 ;1000;-2;15;17;123969000
108;LUXEMBOURG;LUXEMBOURG;330;50N;6E;1,00 ;1000;0,3;17,4;17,1;3453000
109;MACAO;MACAO;5;97N;114E;8,00 ;1846;15,1;28,5;13,4;16899000
110;MADAGASCAR;ANTANANARIVO;1310;19S;48E;3,00 ;1270;19,3;13;-6,3;25016000
111;MALAISIE;KUALA LUMPUR;38;3N;102E;7,30 ;2499;26,8;27,1;0,3;4448000
112;MALAWI;ZOMBA;957;13S;34E;2,00 ;828;23,2;18,1;-5,1;71000
113;MALDIVES;MALE;5;2N;73E;5,30 ;2400;26;28;2;2212000
114;MALI;BAMAKO;332;13N;8E;0,00 ;1099;25,5;26,9;1,4;4279000
115;MALTE;LA VALETTE;74;36N;14E;1,00 ;564;12,9;22,2;9,3;1816000
116;MAN;DOUGLAS;620;54N;5W;0,00 ;1139;5;14;9;2693000
117;MAROC;RABAT;19;33N;7W;0,00 ;564;12,9;22,2;9,3;2780000
118;MARTINIQUE;FORT-DE-FRANCE;146;15N;61W;-5,00 ;1840;23,5;25,6;2,1;2639000
119;MAURICE;PORT-LOUIS;55;19N;57E;4,00 ;1866;28;19;-9;4714000
120;MAURITANIE;NOUAKCHOTT;5;20N;10N;0,00 ;195;23;28;5;30000
121;MAYOTTE;MAYOTTE;2;;;3,00 ;2500;27;23;-4;3765000
122;MEXIQUE;MEXICO;2237;19N;99W;-6,00 ;747;12,6;16,1;3,5;378000
123;MONACO;MONACO;37;44N;7E;1,00 ;758;10;23,3;13,3;467000
124;MONGOLIE;OULAN BATOR;1150;47N;105E;7,00 ;208;-25,6;16,1;41,7;2000000
125;MONTSERRAT;PLYMOUTH;248;17N;62W;-5,00 ;1200;22;28;6;12016000
126;MOZAMBIQUE;MAPUTO;59;26S;33E;2,00 ;768;25,4;18,4;-7;18294000
127;NAMIBIE;WINDHOEK;1728;22S;17E;2,00 ;20;20;14;-6;8796000
128;NAURU;MAKWA;37;1S;167E;12,00 ;2236;27,5;27,4;-0,1;221000
129;NEPAL;KHATMANDOU;1348;22N;85E;5,30 ;1428;10;24,4;14,4;8706000
130;NICARAGUA;MANAGUA;1338;13N;85W;-6,00 ;1140;26;30;4;356000
131;NIGER;NIAMEY;226;13N;2E;1,00 ;636;24,7;28,3;3,6;67000
132;NIGERIA;ABUJA;38;9N;7E;1,00 ;1625;26,7;24,4;-2,3;23300
133;NIUE;ALOFI;59;19S;170W;-11,00 ;2900;28;27;-1;25731000
134;NORVEGE;OSLO;203;60N;11E;1,00 ;832;-6,9;16;22,9;48000
135;NOUVELLE-CALEDONIE;NOUMEA;75;22S;166E;11,00 ;1083;25,6;19,4;-6,2;364000
136;NOUVELLE-ZELANDE;WELLINGTON;119;41S;175E;12,00 ;1224;15,4;7,8;-7,6;1083000
137;OMAN;MASCATE;3;13N;45E;4,00 ;99;22,2;33,3;11,1;2023000
138;OUGANDA;KAMPALA;1146;0;32E;3,00 ;1125;22,2;20;-2,2;76000
139;PACIFIQUE;SAIPAN;66;15N;143E;12,00 ;2200;26;26;0;87821000
140;PAKISTAN;ISLAMABAD;508;34N;73E;4,00 ;900;10;32;22;102000
141;PANAMA;PANAMA;2;8N;80W;-5,00 ;1770;26,1;27,2;1,1;4384000
142;PAPOUASIE;PORT MORESBY;70;5S;145E;10,00 ;1150;27,6;25,8;-1,8;30000
143;PARAGUAY;ASUNCION;64;25S;58W;-4,00 ;1340;28,8;18,2;-10,6;2184000
144;PAYS-BAS;LA HAYE;0;57N;4E;0,00 ;766;1,7;17;15,3;14000
145;PEROU;LIMA;155;12S;77W;-5,00 ;36;21,5;15,3;-6,2;16142000
146;PHILIPPINES;MANILLE;15;15N;121E;-5,00 ;1791;25,4;27,9;2,5;1834000
147;PITCAIRN;ADAMSTOWN;5;25S;130W;-7,30 ;2656;23,1;18,1;-5;9000
148;POLOGNE;VARSOVIE;107;52N;21E;1,00 ;471;-2,4;18,7;21,1;19406000
149;POLYNESIE FRANCAISE;PAPEETE;2;18S;150W;-10,00 ;1800;26;24,1;-1,9;3975000
150;PORTO RICO;SAN JUAN;19;18N;66W;-4,00 ;1631;23,6;26,9;3,3;7809000
151;PORTUGAL;LISBONNE;110;39N;9W;0,00 ;708;10,8;22,2;11,4;118811000
152;QATAR;DOHA;10;25N;51E;4,00 ;62;16,7;36,7;20;2242
153;REUNION;ST-DENIS;11;17N;55E;4,00 ;1526;26;20,7;-5,3;4259000
154;ROUMANIE;BUCAREST;82;44N;26E;2,00 ;578;-2,7;23,3;26;168000
155;ROYAUME-UNI;LONDRES;45;52N;0;0,00 ;597;3;16,3;13,3;3429000
156;RWANDA;KIGALI;1465;2S;30E;2,00 ;988;19,4;21,1;1,7;1618000
157;SAINT-MARIN;SAINT-MARIN;738;44N;12E;1,00 ;650;21;26,5;5,5;16876000
158;SAINT-VINCENT;KINGSTOWN;5;12N;61W;-5,00 ;1500;26,7;26,7;0;20955000
159;SAINTE-HELENE;JAMESTOWN;5;16S;8W;0,00 ;875;2;21;19;115588000
160;SAINTE-LUCIE;CASTRIES;2;14N;61W;-5,00 ;1500;22;28;6;15000
161;SALOMON;HONIARA;2;10S;155E;11,00 ;3023;28;27;-1;2411000
162;SALVADOR;SAN SALVADOR;689;14N;89W;-6,00 ;1775;22,1;23;0,9;2460000
163;SAMOA;PAGO-PAGO;2;15S;171W;-11,00 ;2845;27;26;-1;4013000
164;SAMOA OCCIDENTALES;APIA;2;12S;172W;-11,00 ;2928;28,4;28,7;0,3;4441000
165;SAO TOME-ET-PRINCIPE;SAO TOME;5;0;7E;0,00 ;3000;27;25;-2;15023000
166;SENEGAL;DAKAR;23;15N;18W;0,00 ;578;21,1;27,3;6,2;22135000
167;SEYCHELLES;PORT VICTORIA;2;5S;55E;3,00 ;2203;27,3;25,9;-1,4;62687000
168;SIERRA LEONE;FREETOWN;8;8N;13W;0,00 ;3015;24;29;5;59
169;SINGAPOUR;SINGAPOUR;10;1N;104E;7,30 ;2282;26,1;27,4;1,3;38337000
170;SOMALIE;MOGADISCIO;10;2N;45E;3,00 ;422;26,5;26;-0,5;202000
171;SOUDAN;KHARTOUM;380;16N;33E;2,00 ;164;22,5;30,8;8,3;3554000
172;SRI LANKA;COLOMBO;6;7N;80E;5,30 ;2397;26,2;27,1;0,9;10393000
173;ST-KITTS-ET-NEVIS;BASSETERRE;52;17N;63W;-5,00 ;1375;23;27;4;452000
174;ST-PIERRE-ET-MIQUELON;ST-PIERRE;2;47N;56W;-4,00 ;1328;-2;16;18;602000
175;SUEDE;STOCKHOLM;11;59N;18E;1,00 ;555;-2,9;17,8;20,7;23276000
176;SUISSE;BERNE;569;47N;9E;1,00 ;986;0;18,5;18,5;57536000
177;SURINAME;PARAMARIBO;4;6N;55W;-3,30 ;1978;26,4;27,1;0,7;148930000
178;SWAZILAND;MBABANE;641;26S;32E;2,00 ;1402;20;12,2;-7,8;7403000
179;SYRIE;DAMAS;729;33N;36E;2,00 ;234;7,7;27,2;19,5;6800
180;TANZANIE;DAR-ES-SALAM;58;7S;39E;3,00 ;1043;27,3;23,3;-4;152000
181;TCHAD;N'DJAMENA;295;12N;15E;1,00 ;646;23,5;27,5;4;20000
182;TCHECOSLOVAQUIE;PRAGUE;374;50N;14E;1,00 ;508;-2,6;17,9;20,5;6500
183;THAILANDE;BANGKOK;12;14N;101E;7,00 ;1492;26,1;28,4;2,3;108000
184;TOGO;LOME;22;6N;1E;0,00 ;893;26,8;24,6;-2,2;326000
185;TOKELAU;NUKUNONU;2;9S;171W;-11,00 ;3150;28;27;-1;5308000
186;TONGA;NUKU ALOFA;67;20S;175W;-11,00 ;2900;32,2;32,2;0;42000
187;TRINITE-ET-TOBAGO;PORT OF SPAIN;14;11N;61W;-5,00 ;1631;25,6;26,1;0,5;168000
188;TUNISIE;TUNIS;4;37N;10E;0,00 ;466;11;25,9;14,9;120000
189;TURKS-CAICOS;COCKBURN TOWN;2;22N;71W;-5,00 ;783;24;28;4;7632000
190;TURQUIE;ANKARA;894;40N;33E;2,00 ;362;-0,2;23,3;23,5;10400000
191;TUVALU;FUNAFUTI;3;8S;180;12,00 ;4003;28,9;27,2;-1,7;69000
192;U.R.S.S.;MOSCOU;156;56N;38E;3,00 ;575;-9,9;19;28,9;4239000
193;URUGUAY;MONTEVIDEO;22;35S;56W;-3,00 ;1175;22,5;10,5;-12;3045000
194;VANUATU;VILA;2;17S;167E;11,00 ;2103;26,7;22,2;-4,5;5287000
195;VATICAN;CITE DU VATICAN;50;42N;12E;1,00 ;749;8;24,4;16,4;1950000
196;VENEZUELA;CARACAS;865;11N;67W;-4,00 ;854;19,6;21;1,4;8041000
197;VIETNAM;HANOI;17;26N;106E;7,00 ;1830;26,6;28,9;2,3;25855000
198;WALLIS-ET-FUTUNA;MATA-UTU;2;14S;177W;12,00 ;1168;28;24;-4;17194000
199;YEMEN;SANAA;2242;15N;44W;3,00 ;45;27;34;7;39000
200;YOUGOSLAVIE;BELGRADE;132;45N;20E;1,00 ;701;-0,2;22,6;22,8;8588000
201;ZAIRE;KINSHASA;309;4S;15E;1,00 ;1371;25,6;21,7;-3,9;6740000
202;ZAMBIE;LUSAKA;1277;15S;29E;2,00 ;836;21,1;16,1;-5;457000
203;ZIMBABWE;HARARE;1479;18S;31E;2,00 ;863;20;13,6;-6,4;825000
;;;;  ; ;;;;;;12824000
;;;;;;;;;;;5412000
;;;;;;;;;;;25270000
;;;;;;;;;;;5828000
;;;;;;;;;;;10403633
;;;;;;;;;;;56679000
;;;;;;;;;;;3761000
;;;;;;;;;;;1800
;;;;;;;;;;;100000
;;;;;;;;;;;1249000
;;;;;;;;;;;8223000
;;;;;;;;;;;3748000
;;;;;;;;;;;15000
;;;;;;;;;;;57237000
;;;;;;;;;;;9000
;;;;;;;;;;;51999000
;;;;;;;;;;;3110000
;;;;;;;;;;;156000
;;;;;;;;;;;700
;;;;;;;;;;;20191000
;;;;;;;;;;;67843000
;;;;;;;;;;;15000
;;;;;;;;;;;12533000
;;;;;;;;;;;8373000
;;;;;;;;;;;10080000
