RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE
69;GRECE;ATHENES;107;38N;24E;2,00 ;402;9,3;27,6;18,3
70;GRENADE;SAINT-GEORGE'S;6;12N;62W;-5,00 ;1276;25;27;2
71;GROENLAND;GODTHAAB;50;70N;40W;-4,00 ;528;-8;7;15
72;GUADELOUPE;POINTE-A-PITRE;8;16N;62W;-5,00 ;1814;23,4;26,7;3,3
73;GUAM;AGANA;162;14N;145E;10,00 ;2249;25,6;26,4;0,8
74;GUATEMALA;GUATEMAMLA CITY;1502;15N;91W;-6,00 ;1281;16,3;18,5;2,2
75;GUERNESEY-JERSEY;ST.PETER PORT;10;50N;2W;0,00 ;1100;10;21;11
76;GUINEE;CONAKRY;46;10N;14W;1,00 ;4293;26,7;25;-1,7
77;GUINEE EQUATORIALE;MALABO;24;2N;10E;1,00 ;2500;27;25;-2
78;GUINEE-BISSAU;BISSAU;40;12N;16W;0,00 ;2023;24,4;26,3;1,9
79;GUYANA;GEORGETOWN;2;7N;58W;-3,45 ;2418;26,3;26,2;-0,1
80;GUYANE FRANCAISE;CAYENNE;9;5N;52W;-3,00 ;3744;25,1;25,1;0
81;HAITI;PORT-AU-PRINCE;38;19N;73W;-5,00 ;1350;24,4;27,8;3,4
82;HONDURAS;TEGUCIGALPA;1107;14N;87W;-6,00 ;954;19,2;22,6;3,4
83;HONG KONG;VICTORIA;33;22N;114E;8,00 ;2265;15,4;28,4;13
84;HONGRIE;BUDAPEST;130;48N;19E;1,00 ;630;-1,1;22,2;23,3
85;ILES VIERGES E-U;CHARLOTTE AMALIE;2;18N;65W;-4,00 ;1250;23;27;4
86;ILES VIERGES R-U;ROAD TOWN;5;18N;64W;-5,00 ;1250;23;27;4
87;INDE;DELHI;216;29N;77E;5,30 ;715;14,3;31,2;16,9
88;INDONESIE;DJAKARTA;8;6S;107E;7,00 ;1755;26,2;26,7;0,5
89;IRAK;BAGDAD;2;31N;48E;3,00 ;151;9,9;34,8;24,9
90;IRAN;TEHERAN;1590;33N;52E;3,30 ;208;3,5;29,5;26
